Date,Cumulative number of confirmed Ebola cases
9/4/2015 Total,15227
9/7/2015 Total,15228
9/8/2015 Total,15228
9/9/2015 Total,15228
9/10/2015 Total,15231
9/11/2015 Total,15232
9/14/2015 Total,15232
9/15/2015 Total,15233
9/16/2015 Total,15233
9/17/2015 Total,15233
9/18/2015 Total,15234
9/21/2015 Total,15235
9/22/2015 Total,15235
9/23/2015 Total,15235
9/24/2015 Total,15235
9/25/2015 Total,15235
9/28/2015 Total,15237
9/29/2015 Total,15239
9/30/2015 Total,15239
10/1/2015 Total,15239
10/2/2015 Total,15239
10/5/2015 Total,15239
10/6/2015 Total,15239
10/7/2015 Total,15239
10/8/2015 Total,15239
10/9/2015 Total,15239
10/13/2015 Total,15239
10/15/2015 Total,15240
10/16/2015 Total,15241
10/20/2015 Total,15242
10/22/2015 Total,15242
10/23/2015 Total,15242
10/26/2015 Total,15245
10/27/2015 Total,15245
10/29/2015 Total,15245
10/30/2015 Total,15245
11/3/2015 Total,15246
11/5/2015 Total,15246
11/6/2015 Total,15246
11/10/2015 Total,15246
11/11/2015 Total,15246
11/12/2015 Total,15246
11/16/2015 Total,15246
11/17/2015 Total,15246
11/20/2015 Total,15246
11/24/2015 Total,15246
11/26/2015 Total,15249
12/1/2015 Total,15249
12/2/2015 Total,15249
12/3/2015 Total,15249
12/9/2015 Total,15249
12/10/2015 Total,15249
12/11/2015 Total,15249
12/15/2015 Total,15249
12/16/2015 Total,15249
12/17/2015 Total,15249
12/22/2015 Total,15249
12/23/2015 Total,15249
12/29/2015 Total,15249
3/23/2016 Total,15251
