Date,Cumulative number of suspected Ebola cases
3/24/2015 Total,7626
3/25/2015 Total,7626
3/26/2015 Total,7651
3/27/2015 Total,7668
4/7/2015 Total,8141
4/9/2015 Total,8150
4/13/2015 Total,8188
4/14/2015 Total,8200
4/15/2015 Total,8380
4/16/2015 Total,8410
4/17/2015 Total,8429
4/20/2015 Total,8426
4/21/2015 Total,8431
4/22/2015 Total,8601
4/23/2015 Total,8617
4/24/2015 Total,8640
4/27/2015 Total,8688
4/28/2015 Total,8801
4/30/2015 Total,8811
5/1/2015 Total,8815
5/4/2015 Total,8852
5/5/2015 Total,9042
5/6/2015 Total,9099
5/7/2015 Total,9127
5/8/2015 Total,9149
5/11/2015 Total,9220
5/12/2015 Total,9221
5/13/2015 Total,9220
5/15/2015 Total,9240
5/14/2015 Total,9235
5/19/2015 Total,9391
5/18/2015 Total,9351
5/20/2015 Total,9391
5/21/2015 Total,9424
5/22/2015 Total,9430
5/26/2015 Total,9459
5/25/2015 Total,9450
5/27/2015 Total,9459
5/28/2015 Total,9479
5/29/2015 Total,9489
6/1/2015 Total,9561
6/2/2015 Total,9566
6/3/2015 Total,9566
6/4/2015 Total,9587
6/5/2015 Total,9601
6/8/2015 Total,9616
6/9/2015 Total,9627
6/10/2015 Total,9627
6/11/2015 Total,9634
6/12/2015 Total,9649
6/15/2015 Total,9671
6/16/2015 Total,9675
6/17/2015 Total,9675
6/18/2015 Total,9698
6/19/2015 Total,9715
6/22/2015 Total,9759
6/23/2015 Total,9769
6/24/2015 Total,9769
6/25/2015 Total,9783
6/26/2015 Total,9791
6/29/2015 Total,9813
6/30/2015 Total,9820
7/1/2015 Total,9820
7/2/2015 Total,9828
7/3/2015 Total,9871
7/6/2015 Total,9833
7/7/2015 Total,9841
7/8/2015 Total,9841
7/9/2015 Total,9847
7/10/2015 Total,9858
7/13/2015 Total,9868
7/14/2015 Total,9880
7/15/2015 Total,9880
7/16/2015 Total,9878
7/17/2015 Total,9880
7/20/2015 Total,9910
7/21/2015 Total,9918
7/22/2015 Total,9918
7/23/2015 Total,9931
7/24/2015 Total,9931
7/27/2015 Total,9954
7/28/2015 Total,9954
7/29/2015 Total,9954
7/30/2015 Total,10041
7/31/2015 Total,10045
8/3/2015 Total,10063
8/4/2015 Total,10065
8/5/2015 Total,10065
8/6/2015 Total,10090
8/7/2015 Total,10095
8/10/2015 Total,10127
8/11/2015 Total,10128
8/12/2015 Total,10128
8/13/2015 Total,10146
8/14/2015 Total,10146
8/17/2015 Total,10147
8/18/2015 Total,10148
8/19/2015 Total,10148
8/20/2015 Total,10176
8/21/2015 Total,10194
8/24/2015 Total,10194
8/25/2015 Total,10198
8/26/2015 Total,10198
8/27/2015 Total,10243
8/28/2015 Total,10247
8/31/2015 Total,10255
9/1/2015 Total,10263
9/2/2015 Total,10263
9/3/2015 Total,10291
9/4/2015 Total,10292
9/7/2015 Total,10323
9/8/2015 Total,10335
9/9/2015 Total,10335
9/10/2015 Total,10345
9/11/2015 Total,10348
9/14/2015 Total,10396
9/15/2015 Total,10403
9/16/2015 Total,10403
9/17/2015 Total,10428
9/18/2015 Total,10433
9/21/2015 Total,10460
9/22/2015 Total,10475
9/23/2015 Total,10475
9/24/2015 Total,10499
